Subject,Code Covarge,Execution History,Textual Data,Code Complexity,User Input,Test Suite Size,Average Execution Time of Test Cases per Build (seconds),Number of Builds (versions),Numbe of Failed Builds,Average Failure Rate
Druid,0,1,0,0,0,2391,256.2,168,71,0.422619048
Fastjson,0,1,0,0,0,2461,118.2,2371,323,0.136229439
Deeplearning4j,0,1,0,0,0,117,739.8,483,323,0.66873706
DSpace,0,1,0,0,0,211,706.8,5673,387,0.068217874
Guava,0,1,0,0,0,568,3751.8,1689,112,0.066311427
OkHttp,0,1,0,0,0,289,458.4,6215,1408,0.226548673
Retrofit,0,1,0,0,0,206,144,2711,125,0.046108447
ZXing,0,1,0,0,0,124,788.4,605,11,0.018181818
address-sanitizer,0,1,0,0,0,29,0.66,1,1,1
CentOS7-openssl,0,1,0,0,0,17,1.422,1,1,1
CentOS7-openssl 1.0.x-x86-64,0,1,0,0,0,29,0.624,22,7,0.318181818
centos7-openssl_1.0.x-x86-64(diffent acronym),0,1,0,0,0,26,1.992,128,1,0.0078125
Debian.cross.mips-linux-gnu,0,1,0,0,0,29,82.89,131,7,0.053435115
Debian-openssl 1.0.x-aarch64,0,1,0,0,0,17,2.586,8,1,0.125
fedora-libgcrypt-x86_64,0,1,0,0,0,57,4.014,179,11,0.061452514
fedora-mbedtls-x86-64,0,1,0,0,0,40,3.324,108,6,0.055555556
fedora-mbedtls-x86_64(different acronym),0,1,0,0,0,56,3.408,178,2,0.011235955
Fedora-openssl,0,1,0,0,0,17,0.894,1,1,1
Fedora-openssl 1.1.x-x86-64,0,1,0,0,0,29,0.72,21,3,0.142857143
fedora-openssl_1.1.x-x86-64,0,1,0,0,0,41,2.934,125,13,0.104
fedora-openssl_1.1.x-x86-64-release,0,1,0,0,0,41,2.91,57,4,0.070175439
fedora-openssl_1.1.x-x86_64,0,1,0,0,0,60,3.624,179,3,0.016759777
fedora-openssl_1.1.x-x86_64-fips,0,1,0,0,0,57,4.83,71,10,0.14084507
fedora-openssl_1.1.x-x86_64-minimal,0,1,0,0,0,45,2.766,124,1,0.008064516
fedora-undefined-sanitizer,0,1,0,0,0,57,4.206,307,15,0.048859935
freebsd-x86_64,0,1,0,0,0,33,2.076,179,3,0.016759777
mingw32,0,1,0,0,0,16,5.094,86,3,0.034883721
mingw64,0,1,0,0,0,16,3.66,86,3,0.034883721
pages,0,1,0,0,0,29,0.528,3,3,1
tumbleweed-openssl_1.1.x-x86-64,0,1,0,0,0,41,3.408,103,8,0.077669903
tumbleweed-openssl_1.1.x-x86-64-release,0,1,0,0,0,41,3.6,57,1,0.01754386
tumbleweed-openssl_1.1.x-x86_64-clang,0,1,0,0,0,57,3.696,180,10,0.055555556
tumbleweed-openssl_1.1.x-x86_64-gcc,0,1,0,0,0,56,3.72,176,7,0.039772727
tumbleweed-openssl_1.1.x-x86_64-gcc7,0,1,0,0,0,57,3.75,179,7,0.039106145
tumbleweed-undefined-sanitizer,0,1,0,0,0,56,4.242,300,14,0.046666667
ubuntu-openssl_1.1.x-x86_64,0,1,0,0,0,57,3.498,13,5,0.384615385
undefined-sanitizer,0,1,0,0,0,29,0.972,4,2,0.5
visualstudio-x86,0,1,0,0,0,18,0.264,116,11,0.094827586
visualstudio-x86_64,0,1,0,0,0,18,0.306,116,14,0.120689655
IOF/ROL,0,1,0,0,0,1941,92236.2,2392,1627,0.680183947
Paint Control,0,1,0,0,0,1980,25467.6,20711,1980,0.095601371
GSDTSR,0,1,0,0,0,5555,58455,259388,2924,0.011272688
flex,1,0,0,0,0,567,,5,5,1
space,1,1,0,1,0,13585,,38,24,0.631578947
NanoXML,0,0,1,0,0,214,,5,4,0.8
Siena,0,0,1,0,0,567,,7,7,1
Sed,0,0,1,0,0,370,,7,7,1
JFreechart,1,1,0,1,0,2205,,,,
Closure compiler,1,1,0,1,0,7927,,,,
Apache commons-lang,1,1,0,1,0,3602,,,,
Apache commons-math,1,1,0,1,0,2245,,,,
Joda-Time,1,1,0,1,0,4130,,,,
assertj-core,1,1,0,0,0,2470,65.37799998,,,
asterisk-java,1,1,0,0,0,217,15.078,,,
Camel-Core,1,1,0,0,0,5630,1562.098,,,
Chukwa,1,1,0,0,0,131,1042.183,,,
Commons-Pool,1,1,0,0,0,272,421.401,,,
gson-fire,1,1,0,0,0,36,4.023,,,
HBase,1,1,0,0,0,756,1474.309,,,
jasmine-maven-plugin,1,1,0,0,0,102,54.156,,,
java-apns,1,1,0,0,0,87,2.253,,,
LastCalc,1,1,0,0,0,32,14.332,,,
MapDB,1,1,0,0,0,4132,1048.109,,,
OpenTripPlanner,1,1,0,0,0,379,637.0120002,,,
PHP,1,1,0,0,0,9691,902.2750002,,,
vraptor-archive,1,1,0,0,0,1130,79.79800002,,,
blueflood,1,1,0,0,0,961,147.577,,,
cloudhopper-smpp,1,1,0,0,0,193,6.39,,,
commons-dbcp,1,1,0,0,0,560,83.24899998,,,
commons-email,1,1,0,0,0,174,5.792,,,
commons-math,1,1,0,0,0,5082,123.219,,,
commons-io,1,1,0,0,0,1081,137.94,,,
cucumber-reporting,1,1,0,0,0,124,2.641,,,
ddd-cqrs-sample,1,1,0,0,0,24,2.485,,,
dictomaton,1,1,0,0,0,53,11.969,,,
DotCi,1,1,0,0,0,190,18.232,,,
ews-java-api,1,1,0,0,0,99,4.7,,,
exp4j,1,1,0,0,0,284,8.959000002,,,
gdx-artemis,1,1,0,0,0,35,2.465,,,
geo,1,1,0,0,0,92,6.769000002,,,
geohash-java,1,1,0,0,0,56,5.283,,,
hivemall,1,1,0,0,0,150,222.805,,,
HTTP-Proxy-Servlet,1,1,0,0,0,24,2.686,,,
jackson-core,1,1,0,0,0,346,10.724,,,
jackson-datatype-guava,1,1,0,0,0,73,5.887,,,
jopt-simple,1,1,0,0,0,727,5.11,,,
joss,1,1,0,0,0,531,16.061,,,
jsprit,1,1,0,0,0,1250,106.348,,,
la4j,1,1,0,0,0,625,19.019,,,
lambdaj,1,1,0,0,0,265,3.562,,,
languagetool,1,1,0,0,0,719,264.476,,,
metrics-core,1,1,0,0,0,150,2.041,,,
raml-java-parser,1,1,0,0,0,198,4.54,,,
redline-smalltalk,1,1,0,0,0,43,4.356,,,
RoaringBitmap,1,1,0,0,0,1148,171.098,,,
rome,1,1,0,0,0,475,7.422,,,
scribe-java,1,1,0,0,0,99,1.121,,,
spring-data-solr,1,1,0,0,0,636,8.440999998,,,
spring-retry,1,1,0,0,0,186,6.651,,,
stream-lib,1,1,0,0,0,141,116.094,,,
tamper,1,1,0,0,0,62,2.704,,,
webbit,1,1,0,0,0,131,8.074000002,,,
Ant,1,0,1,1,0,105,,,,
Derby 10.1.2.1,0,0,1,0,0,98,,,,
Derby 10.1.3.1,0,0,1,0,0,106,,,,
Derby 10.2.1.6,0,0,1,0,0,120,,,,
Derby 10.3.1.4,0,0,1,0,0,53,,,,
gzip,1,0,0,0,0,214,,,,
grep,1,0,0,0,0,809,,,,
printtokens,1,0,0,0,0,317,,,,
schedule,1,0,0,0,0,225,,,,
sed,1,0,0,0,0,370,,,,
vim,1,0,0,0,0,975,,,,
bash,1,0,0,0,0,1061,,,,
Codec,1,1,0,1,0,403,,,,
Compress,1,1,0,1,0,475,,,,
Imaging,1,1,0,1,0,90,,,,
Io,1,1,0,1,0,1014,,,,
lang,1,1,0,1,0,3899,,,,
math,1,1,0,1,0,4864,,,,
jmeter,1,0,0,1,0,78,,,,
xml,1,0,0,1,0,83,,,,
nano,1,0,0,1,0,216,,,,
galileo,1,0,0,1,0,912,,,,
xml-security,0,0,0,1,0,,,,,
WSDrean,0,1,0,0,0,,,,,
